Type,Code/Name,Balance/Shares,Price,Value,Category/Date
Share,ANZ,2059,36.03,74185.77,2025-11-24T06:44:57.804Z
Share,GEM,null,0.7,0,2025-11-17T15:25:56.592Z
Share,AMP,0,1.82,0,2025-09-30T14:46:56.590Z
Share,SGP,null,6.24,0,2025-10-12T09:30:31.287Z
Share,WES,null,0,0,2025-09-21T05:45:19.539Z
Share,AX1,null,1.22,0,2025-11-17T04:10:18.324Z
Share,MIN,null,51.23,0,2025-11-12T06:57:32.318Z
Share,JBH,0,0,0,undefined
Share,ARB,0,33.53,0,2025-11-23T23:12:46.226Z
Share,JHX,0,29.86,0,2025-11-27T05:57:23.630Z
Share,AFA,0,0.05,0,2025-12-21T00:50:12.667Z
Share,NIC,0,0.71,0,2025-11-24T22:46:07.838Z
Share,CMW,0,0.48,0,2025-12-18T15:35:04.854Z
Share,AFL,0,0.18,0,2025-12-20T16:24:39.198Z
Share,MYX,0,3,0,2025-12-23T06:35:44.229Z
Share,VEA,7629,2.11,16097.189999999999,2025-11-25T03:55:09.502Z
Share,APA,5098,9.31,47462.380000000005,2025-11-24T12:02:11.769Z
Share,GAP,0,0.09,0,2025-12-24T10:14:37.407Z
Share,HLI,9257,5.75,53227.75,2025-09-28T17:14:08.161Z
Share,EDV,4819,3.74,18023.06,2025-11-25T16:19:16.253Z
Share,EYE,0,0.14,0,2025-12-23T16:09:40.674Z
Share,TLS,5288,4.85,25646.8,2025-10-03T14:34:58.094Z
Share,YAL,0,5.55,0,2025-10-27T04:57:19.026Z
Share,WHC,null,7.07,0,2025-10-28T15:18:06.711Z
Share,WBC,null,38.95,0,2025-09-29T18:02:55.086Z
Share,CTD,1745,16.07,28042.15,2025-11-24T06:16:06.190Z
Share,GMD,null,5.89,0,2025-09-30T17:31:15.154Z
Share,LLC,null,5.62,0,2025-10-22T08:45:44.954Z
Share,RMD,1000,42.26,42260,2025-09-06T13:35:37.225Z
Share,CBA,0,0,0,undefined
Share,EYE,0,0.14,0,2025-12-23T16:09:40.963Z
Share,WTC,0,70.18,0,2025-11-24T13:08:53.872Z
Share,CAR,0,33.72,0,2025-11-25T04:17:26.647Z
Share,WDS,842,25.17,21193.140000000003,2025-11-24T04:19:48.919Z
Share,RHC,0,0,0,undefined
Share,AHF,0,0.04,0,2025-12-24T03:21:00.449Z
Share,AMN,0,0.1,0,2025-10-21T22:16:40.014Z
Share,NAB,3606,40.38,145610.28,2025-10-28T06:23:29.522Z
Share,ALD,0,31.46,0,2025-11-24T22:47:00.584Z
Share,NAN,null,4.65,0,2025-10-12T10:13:14.312Z
Share,WAM,4590,0,0,2025-09-20T16:37:20.216Z
Share,TWE,5667,0,0,2025-11-27T06:58:26.384Z
Share,VHY,461,79.08,36455.88,2025-09-06T15:38:28.530Z
Share,BEN,0,10.14,0,2025-12-18T16:15:57.849Z
Share,BAP,0,1.82,0,2025-10-21T04:46:51.224Z
Share,CSL,0,182.95,0,2025-11-24T22:46:38.402Z
Share,FBR,1000000,0,0,2025-11-26T10:45:18.115Z
Share,TPG,null,3.82,0,2025-11-14T05:28:06.510Z
Share,SPK,0,2.01,0,2025-11-24T22:45:04.993Z
Share,GMG,null,29.66,0,2025-12-08T14:01:21.365Z
Share,S32,null,0,0,2025-09-29T08:37:15.135Z
Share,WOW,null,26.7,0,2025-09-30T17:37:44.037Z
Share,MQG,1085,217.29,235759.65,2025-09-28T04:58:02.245Z
Share,ASB,5122,6.93,35495.46,2025-11-27T05:05:41.555Z
Share,VAS,0,107.55,0,2025-11-17T15:31:29.122Z
Share,SUL,3429,16.57,56818.53,2025-09-28T02:42:04.560Z
Share,IGO,10524,6.93,72931.31999999999,2025-10-14T00:04:21.881Z
Share,MPL,null,0,0,2025-09-30T17:36:51.590Z
Share,NDQ,544,56.75,30872,2025-11-25T04:14:45.207Z
Cash,Nick,300000,1,300000,undefined
Cash,Car,15000,1,15000,undefined
Cash,Rabo Tax,210400,1,210400,undefined
Cash,Apus,300000,1,300000,undefined
Cash,ASX Portfolio,939000,1,939000,undefined
Cash,AMP,22383,1,22383,undefined
Cash,Tax liability,-130000,1,-130000,undefined
Cash,Ubank,0,1,0,undefined
Cash,Test,1000000,1,1000000,term_deposit
Cash,Macquarie,279564,1,279564,undefined
Cash,Brighter Super,720000,1,720000,undefined
Cash,Cash Bank,511000,1,511000,undefined
